Ticker,variance_contribution,absolute_share_of_portfolio_variance
HLT,745337.2045653511,6.3031040059297574e-06
GD,569282.0249787428,4.814255601583486e-06
WMT,544914.0300353162,4.6081824234252085e-06
TRMB,-525849.085632599,4.446955630100605e-06
PGR,477701.988599574,4.0397893725679185e-06
CMI,332604.2249372089,2.812738998871575e-06
VICI,280495.620376244,2.3720714028629156e-06
NDAQ,144319.54886243527,1.2204692332502933e-06
MCD,129972.60651054024,1.0991412366640932e-06
GEHC,112813.83720401651,9.54034422070228e-07
COST,-106735.9343563301,9.026353324336858e-07
MSI,82799.03071142343,7.002077703455291e-07
SYY,75711.97077592957,6.402745272495729e-07
DE,72324.98913462849,6.116317902165478e-07
HUBB,69578.05686196162,5.884017680120864e-07
WM,23493.59917900343,1.9867866274734005e-07
IBM,13222.653860590408,1.1182020970805088e-07
RJF,-9335.68720884295,7.894924214668768e-08
VMC,7370.337904802466,6.232884402960606e-08
SO,2774.559830410413,2.3463660574880485e-08
ETR,2681.4907071811976,2.2676601563387117e-08
WRB,-2411.8910932269405,2.0396674576912366e-08
TXN,919.2689400829612,7.773995049854881e-09
CRH,672.2662140818846,5.685163495228725e-09
FERG,0.0,0.0
FAST,0.0,0.0
EXPD,0.0,0.0
HD,0.0,0.0
HON,0.0,0.0
MRSH,0.0,0.0
J,0.0,0.0
MA,0.0,0.0
ALL,0.0,0.0
VLTO,0.0,0.0
ALLE,0.0,0.0
AON,0.0,0.0
V,0.0,0.0
LH,0.0,0.0
LIN,0.0,0.0
ADI,0.0,0.0
INVH,0.0,0.0
IEX,0.0,0.0
ICE,0.0,0.0
ITW,0.0,0.0
JPM,0.0,0.0
JNJ,0.0,0.0
MCO,0.0,0.0
LOW,0.0,0.0
SHW,0.0,0.0
RSG,0.0,0.0
DGX,0.0,0.0
CTAS,0.0,0.0
CSCO,0.0,0.0
PRU,0.0,0.0
PLD,0.0,0.0
ROK,0.0,0.0
PPG,0.0,0.0
PEG,0.0,0.0
DOV,0.0,0.0
DTE,0.0,0.0
DUK,0.0,0.0
ECL,0.0,0.0
EMR,0.0,0.0
PH,0.0,0.0
PEP,0.0,0.0
NSC,0.0,0.0
FTV,0.0,0.0
CME,0.0,0.0
SNA,0.0,0.0
CB,0.0,0.0
SPGI,0.0,0.0
SYK,0.0,0.0
TDY,0.0,0.0
BRK-B,0.0,0.0
TEL,0.0,0.0
BLK,0.0,0.0
WTW,0.0,0.0
TRV,0.0,0.0
YUM,0.0,0.0
A,0.0,0.0
