,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,AAPL,GOOG,PEP,ADBE,COST,TXN",0.266314686,-0.015545546,0.101803877
Equal-weighted,"MSFT,AAPL,PEP,PYPL,COST,TXN,CHTR",0.327530163,-0.01554738,0.131940127
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,PYPL,AMGN,CHTR",0.312671533,-0.01555257,0.097274327
Equal-weighted,"MSFT,GOOG,CSCO,PEP,COST,AVGO,CHTR",0.274161135,-0.015552725,0.080818554
Equal-weighted,"MSFT,GOOG,PEP,ADBE,PYPL,COST,TXN",0.302407827,-0.015553403,0.104859018
Equal-weighted,"MSFT,AAPL,CSCO,ADBE,COST,AMGN,CHTR",0.23169161,-0.015554188,0.113916857
Equal-weighted,"MSFT,AAPL,CSCO,CMCSA,PEP,ADBE,COST",0.23247777,-0.01555898,0.101704548
Equal-weighted,"GOOG,CSCO,CMCSA,PEP,ADBE,COST,CHTR",0.216431997,-0.015561265,0.082313336
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,COST,AMGN,CHTR",0.252206865,-0.015561407,0.099589774
Equal-weighted,"MSFT,CSCO,ADBE,PYPL,COST,AMGN,CHTR",0.26778475,-0.015562045,0.116971998
Equal-weighted,"MSFT,AMZN,CSCO,PEP,ADBE,COST,CHTR",0.204919726,-0.015563995,0.108074176
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,CMCSA,PEP,COST",0.252993026,-0.015566199,0.087377466
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,ADBE,PYPL,COST",0.268570911,-0.015566838,0.104759689
Equal-weighted,"MSFT,GOOG,CSCO,PYPL,COST,AMGN,CHTR",0.288300005,-0.015569264,0.102644915
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,COST,AMGN,TXN",0.211844144,-0.015569397,0.083182229
Equal-weighted,"MSFT,AMZN,GOOG,CSCO,PEP,COST,CHTR",0.225434982,-0.015571214,0.093747093
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,AMGN,CHTR",0.226458018,-0.015571785,0.081474773
Equal-weighted,"MSFT,AAPL,GOOG,ADBE,COST,AVGO,CHTR",0.322647989,-0.015573725,0.114457293
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,PYPL,COST",0.289086166,-0.015574057,0.090432607
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,COST,AMGN,TXN",0.232359399,-0.015576616,0.068855146
Equal-weighted,"MSFT,GOOG,ADBE,PYPL,COST,AVGO,CHTR",0.35874113,-0.015581582,0.117512434
Equal-weighted,"MSFT,CSCO,CMCSA,ADBE,COST,TXN,CHTR",0.236749696,-0.015585513,0.091523297
Equal-weighted,"MSFT,AAPL,AMZN,GOOG,ADBE,COST,CHTR",0.273921835,-0.015592213,0.127385832
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,COST,TXN,CHTR",0.257264951,-0.015592732,0.077196214
Equal-weighted,"AAPL,GOOG,PEP,ADBE,COST,AMGN,CHTR",0.235530517,-0.015594417,0.107620621
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,ADBE,PYPL,COST",0.33757302,-0.015595056,0.124071346
Equal-weighted,"MSFT,CMCSA,ADBE,COST,AMGN,AVGO,CHTR",0.268177447,-0.015597577,0.095835644
Equal-weighted,"MSFT,CSCO,PEP,COST,AMGN,TXN,CHTR",0.207361361,-0.015597666,0.083191842
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,PYPL,CHTR",0.336946509,-0.015599411,0.133037454
Equal-weighted,"MSFT,AAPL,PEP,ADBE,PYPL,COST,AMGN",0.287669431,-0.01559999,0.130066974
Equal-weighted,"MSFT,AMZN,GOOG,ADBE,PYPL,COST,CHTR",0.310014976,-0.015600071,0.130440973
Equal-weighted,"GOOG,PEP,ADBE,PYPL,COST,AMGN,CHTR",0.271623657,-0.015602275,0.110675762
Equal-weighted,"MSFT,GOOG,CMCSA,COST,AMGN,AVGO,CHTR",0.288692703,-0.015604796,0.081508561
