,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,AXP,BEN",0.63166984,-0.051189732,0.404143155
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,AXP,ALXN",0.653831686,-0.04952817,0.411633036
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,AXP,AMGN",0.628675214,-0.04495157,0.404219357
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,AXP,ETN",0.636056861,-0.044072099,0.407969037
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,BEN,ALXN",0.661854105,-0.056467042,0.40994877
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,BEN,AMGN",0.636697632,-0.051890441,0.402535092
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,BEN,ETN",0.64407928,-0.05101097,0.406284771
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,ALXN,AMGN",0.658859479,-0.050228879,0.410024972
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,ALXN,ETN",0.666241126,-0.049349408,0.413774652
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,SEDG,AMGN,ETN",0.641084654,-0.044772807,0.406360974
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,BEN,ALXN",0.543199646,-0.052177711,0.349445073
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,BEN,AMGN",0.518043174,-0.047446911,0.342031395
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,BEN,ETN",0.525424821,-0.046753804,0.345781074
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,ALXN,AMGN",0.54020502,-0.045865211,0.349521275
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,ALXN,ETN",0.547586668,-0.045172104,0.353270955
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,AXP,AMGN,ETN",0.522430195,-0.040441303,0.345857276
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,BEN,ALXN,AMGN",0.548227439,-0.052506037,0.34783701
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,BEN,ALXN,ETN",0.555609086,-0.05181293,0.351586689
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,BEN,AMGN,ETN",0.530452614,-0.047082129,0.344173011
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AAPL,ALXN,AMGN,ETN",0.55261446,-0.045500429,0.351662892
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,GOOG",0.770567533,-0.044419836,0.478136758
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,FSLR",0.798599577,-0.048585991,0.504792359
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,SEDG",0.866896652,-0.04904023,0.539338787
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,AXP",0.748242193,-0.045090058,0.47883509
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,BEN",0.756264612,-0.051730885,0.477150824
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,ALXN",0.778426458,-0.050149185,0.484640705
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,AMGN",0.753269986,-0.045418384,0.477227026
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FB,ETN",0.760651633,-0.044725277,0.480976706
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,FSLR",0.80486943,-0.048048288,0.495516675
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,SEDG",0.873166504,-0.048531469,0.530063103
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,AXP",0.754512046,-0.044552355,0.469559406
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,BEN",0.762534464,-0.051193182,0.46787514
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,ALXN",0.784696311,-0.049611482,0.475365021
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,AMGN",0.759539838,-0.044880681,0.467951342
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,GOOG,ETN",0.766921486,-0.044187574,0.471701022
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,SEDG",0.901198548,-0.052887152,0.556718704
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,AXP",0.78254409,-0.048718511,0.496215007
Equal-weighted,"NFLX,NVDA,BABA,BIDU,TWTR,TSLA,AMZN,ENPH,FSLR,BEN",0.790566508,-0.055359337,0.494530741
